上位のクエリ,クリック数,表示回数,CTR,掲載順位
it業界 文系,0,64,0%,40.7
文系 it,0,46,0%,42.59
情報系 就職,0,35,0%,69.94
it企業,0,14,0%,35.07
it 文系,0,14,0%,42.21
it企業 理系 文系,0,12,0%,1
it企業 文系,0,11,0%,5.36
企業 it,0,7,0%,37.71
it 業界 文系,0,6,0%,43.17
情報 系 就職,0,5,0%,73
it エンジニア 文系,0,4,0%,47
文系 it 企業,0,3,0%,15.33
it 就活,0,3,0%,34.67
it業界 職種,0,3,0%,55.33
itエンジニア文系,0,3,0%,55.67
情報 処理 ｻｰﾋﾞｽ 業界,0,3,0%,87
it 企業 文系,0,2,0%,3.5
文系 se おすすめ 企業,0,2,0%,17
it企業 文系 おすすめ企業,0,2,0%,20
it 就職,0,2,0%,34
文系 歓迎,0,2,0%,48.5
it 業界 職種,0,2,0%,57
it おすすめ 職種,0,2,0%,58.5
it企業 例,0,1,0%,1
文系 it 職種,0,1,0%,1
it企業文系,0,1,0%,3
it業界 向いている人 文系,0,1,0%,16
it就職,0,1,0%,30
it 企業,0,1,0%,40
it会社,0,1,0%,44
就職 it,0,1,0%,45
it系 就職,0,1,0%,58
